certified_per_keyper_resistance_usd,total_stress_targets,covered_stress_targets,empirical_certificate_coverage,empirical_certificate_coverage_pct
800,1.46317e+06,1.353952e+06,0.9253552218812579,92.53552218812578
825,1.46317e+06,1.356435e+06,0.9270522222298161,92.7052222229816
850,1.46317e+06,1.358918e+06,0.9287492225783743,92.87492225783744
875,1.46317e+06,1.360954e+06,0.9301407218573372,93.01407218573371
900,1.46317e+06,1.363109e+06,0.9316135513986755,93.16135513986755
925,1.46317e+06,1.365159e+06,0.9330146189438001,93.30146189438001
950,1.46317e+06,1.367578e+06,0.9346678786470471,93.46678786470471
975,1.46317e+06,1.369366e+06,0.9358898829254291,93.58898829254291
1000,1.46317e+06,1.371395e+06,0.9372765980713109,93.72765980713109
1025,1.46317e+06,1.373613e+06,0.9387924848103775,93.87924848103775
1050,1.46317e+06,1.375866e+06,0.9403322922148486,94.03322922148486
1075,1.46317e+06,1.377216e+06,0.9412549464518819,94.12549464518818
1100,1.46317e+06,1.378851e+06,0.9423723832500667,94.23723832500666
1125,1.46317e+06,1.382364e+06,0.9447733346091022,94.47733346091022
1150,1.46317e+06,1.384307e+06,0.9461012732628471,94.61012732628471
1175,1.46317e+06,1.385794e+06,0.9471175598187497,94.71175598187497
1200,1.46317e+06,1.38714e+06,0.9480374802654511,94.80374802654511
1225,1.46317e+06,1.388793e+06,0.9491672191201296,94.91672191201296
1250,1.46317e+06,1.389714e+06,0.9497966743440612,94.97966743440612
1275,1.46317e+06,1.39115e+06,0.9507781050732315,95.07781050732314
1300,1.46317e+06,1.392745e+06,0.9518682039680967,95.18682039680967
1325,1.46317e+06,1.393832e+06,0.9526111114908042,95.26111114908042
1350,1.46317e+06,1.39467e+06,0.9531838405653479,95.31838405653478
1375,1.46317e+06,1.395622e+06,0.9538344826643521,95.38344826643521
1400,1.46317e+06,1.396573e+06,0.9544844413157733,95.44844413157733
1425,1.46317e+06,1.397419e+06,0.9550626379709808,95.50626379709809
1450,1.46317e+06,1.398055e+06,0.955497310633761,95.5497310633761
1475,1.46317e+06,1.39866e+06,0.9559107964214685,95.59107964214685
1500,1.46317e+06,1.399846e+06,0.9567213652548918,95.67213652548918
1525,1.46317e+06,1.40119e+06,0.9576399188064272,95.76399188064272
1550,1.46317e+06,1.401914e+06,0.9581347348565101,95.81347348565102
1575,1.46317e+06,1.402454e+06,0.9585037965513235,95.85037965513234
1600,1.46317e+06,1.403086e+06,0.9589357354237716,95.89357354237717
1625,1.46317e+06,1.403791e+06,0.9594175659697779,95.9417565969778
1650,1.46317e+06,1.404358e+06,0.9598050807493319,95.9805080749332
