trial,order,absolute_interaction_mass,normalized_mass
17,2,0.15227481887158945,0.008473785319821603
17,3,3.7028732012996457,0.20605739548305554
17,4,63.85460526882277,3.5533794802031253
17,5,102.58652240764961,5.708732238404779
17,6,59.024226577403745,3.2845786873481853
17,7,12.009496147979014,0.6683041418884625
18,1,5.041851289198394,0.16518776708917604
18,2,22.422272336440205,0.7346279943355571
18,3,22.422272336440212,0.7346279943355574
18,4,69.4534107867389,2.2755240459328907
18,5,139.41309959878757,4.56763543880051
18,6,96.96988890943945,3.1770551142896766
18,7,23.62000795550883,0.773869784925651
19,1,11.768405674025587,0.3696358366313084
19,2,1.3857417817511575,0.04352499710161125
19,3,1.3857417817511646,0.04352499710161147
19,4,71.19558699851214,2.236194187521592
19,5,77.98276317655677,2.4493737476444064
19,6,28.881860212246945,0.9071552136059706
19,7,3.6986315276967616,0.11617094082239184
20,1,11.328231412791759,0.7498544102102479
20,2,0.6521617503045825,0.04316881839861786
20,3,1.6310823955597833,0.1079669264476459
20,4,4.107711742575468,0.27190349965525185
20,5,2.290429475284654,0.15161136639373077
20,6,2.842170943040401e-14,1.88133022583182e-15
20,7,7.105427357601002e-15,4.70332556457955e-16
21,1,10.082726453306087,0.7863626111878943
21,2,1.2358408502135134,0.09638454861263346
21,3,0.20657583879401287,0.01611107042868597
21,4,1.5930198374899298,0.12424131953633867
21,5,1.7763568394002505e-14,1.38539968241847e-15
21,6,2.1316282072803006e-14,1.6624796189021642e-15
21,7,1.4210854715202004e-14,1.108319745934776e-15
22,1,4.951753027337274,0.2058759582092321
22,2,26.712796598227904,1.1106213427340026
22,3,27.49449040368488,1.1431213402775422
22,4,29.907032628513356,1.2434261090159537
22,5,19.657567763870155,0.817290478161408
22,6,3.789770405245129,0.15756492887780046
22,7,0.0,0.0
23,1,8.321994535141627,0.3121143565851428
23,2,8.34189781342425,0.31286082413794924
23,3,23.33303813926484,0.875099851995914
23,4,40.13523968260593,1.505262285024302
23,5,24.415738917802308,0.9157062781886349
23,6,3.673026058094244,0.13775593819505413
23,7,2.1316282072803006e-14,7.994619121468936e-16
24,1,16.170291874686278,0.5012717485103154
24,2,6.53191740932942,0.20248649104628808
24,3,6.531917409329417,0.20248649104628796
24,4,68.63204694675184,2.1275624734205865
24,5,110.30425499382642,3.419382111181329
24,6,69.44147841588432,2.152654483569549
24,7,16.408997179037645,0.5086715051886851
25,1,8.776883943455331,0.3613072147390435
25,2,8.699206609329106,0.35810956721148013
25,3,5.741822865583405,0.23636657844106898
25,4,25.91842006622645,1.0669518048655138
25,5,13.844056377994026,0.5699012864757232
25,6,4.263256414560601e-14,1.7550024710214412e-15
25,7,2.1316282072803006e-14,8.775012355107206e-16
26,1,20.1083461770821,0.8986524130459959
26,2,0.5802341510589386,0.0259309649530051
26,3,2.93466709012446,0.13115179333011187
26,4,4.0135870257330275,0.17936928446934405
26,5,1.6892537645790426,0.07549362629912074
26,6,4.263256414560601e-14,1.905271388626274e-15
26,7,1.4210854715202004e-14,6.350904628754247e-16
27,1,11.555182286258553,0.5302388872891263
27,2,0.15223462088091821,0.006985672227669943
27,3,1.4388269934842697,0.06602423095773456
27,4,42.62307924677699,1.9558682461914718
27,5,50.50171793913505,2.31739959291518
27,6,16.524803012366796,0.7582825562491793
27,7,7.105427357601002e-15,3.2605058081069637e-16
28,1,6.562860795730437,0.24454578452376288
28,2,8.876312971122868,0.3307498035938613
28,3,44.609212332415936,1.6622316343986416
28,4,69.98906460053021,2.607937489997614
28,5,46.101213351461546,1.7178266822092136
28,6,12.05494577042829,0.449192244445998
28,7,0.0,0.0
29,1,7.412160066620785,0.36844231736419536
29,2,4.97495147113624,0.24729399153889411
29,3,17.180589650142668,0.8540096554158412
29,4,20.55177556971918,1.0215839578203203
29,5,4.983154264386695,0.24770173450813557
29,6,2.1316282072803006e-14,1.0595859093573194e-15
29,7,1.4210854715202004e-14,7.063906062382129e-16
30,1,6.451896167341221,0.27644912504994523
30,2,2.8827514837674126,0.12351936620708875
