n,q,trial,action_budget,baseline,exact_value,greedy_value,greedy_gain_ratio
5,3,31,1,12.88909037109623,15.643851863824128,15.643851863824128,1.0
5,3,31,2,12.88909037109623,18.16495206401933,18.16495206401933,1.0
5,3,31,3,12.88909037109623,20.39457736953576,20.39457736953576,1.0
5,3,32,1,7.384973464161258,12.372180818063317,12.372180818063317,1.0
5,3,32,2,7.384973464161258,18.659828568194705,18.659828568194705,1.0
5,3,32,3,7.384973464161258,21.586125887037046,21.586125887037046,1.0
5,3,33,1,12.24322830990092,18.1503668618331,18.1503668618331,1.0
5,3,33,2,12.24322830990092,20.674818130009495,20.674818130009495,1.0
5,3,33,3,12.24322830990092,22.1761802270474,22.1761802270474,1.0
5,3,34,1,12.840646731724298,17.615120641284303,17.615120641284303,1.0
5,3,34,2,12.840646731724298,21.761356981441917,21.761356981441917,1.0
5,3,34,3,12.840646731724298,23.824154093368218,23.824154093368218,1.0
5,3,35,1,12.397801836809979,16.106409923149492,16.106409923149492,1.0
5,3,35,2,12.397801836809979,16.898203062183704,16.898203062183704,1.0
5,3,35,3,12.397801836809979,21.146218978821402,17.09120461771302,0.5364859385093225
5,3,36,1,17.821352445011463,21.286227223131267,21.286227223131267,1.0
5,3,36,2,17.821352445011463,22.891105947422503,22.891105947422503,1.0
5,3,36,3,17.821352445011463,28.289684095754588,24.741548734931264,0.661060092553387
5,3,37,1,12.89452207851322,17.866992655379526,17.866992655379526,1.0
5,3,37,2,12.89452207851322,22.24097439811701,22.24097439811701,1.0
5,3,37,3,12.89452207851322,27.84993334916191,27.84993334916191,1.0
5,3,38,1,14.449002063475293,21.508911044038868,21.508911044038868,1.0
5,3,38,2,14.449002063475293,23.479992876018358,23.479992876018358,1.0
5,3,38,3,14.449002063475293,28.827807678150734,28.827807678150734,1.0
5,3,39,1,17.352854772888065,18.431669188992593,18.431669188992593,1.0
5,3,39,2,17.352854772888065,19.83188270304263,19.83188270304263,1.0
5,3,39,3,17.352854772888065,26.00754565885771,26.00754565885771,1.0
5,3,40,1,6.735075631651794,11.521208380480942,11.521208380480942,1.0
5,3,40,2,6.735075631651794,16.925001415280448,16.925001415280448,1.0
5,3,40,3,6.735075631651794,22.327886120893403,22.327886120893403,1.0
5,3,41,1,10.192361721984842,15.332079147393038,15.332079147393038,1.0
5,3,41,2,10.192361721984842,20.669267518846894,20.669267518846894,1.0
5,3,41,3,10.192361721984842,21.318411128609327,21.318411128609327,1.0
5,3,42,1,13.595650280639259,21.33625603984349,21.33625603984349,1.0
5,3,42,2,13.595650280639259,26.402222003416007,26.402222003416007,1.0
5,3,42,3,13.595650280639259,30.08713086470857,30.08713086470857,1.0
5,3,43,1,9.581058421977183,14.531645380708408,14.531645380708408,1.0
5,3,43,2,9.581058421977183,19.3160953537729,19.3160953537729,1.0
5,3,43,3,9.581058421977183,24.018525029294047,24.018525029294047,1.0
5,3,44,1,13.503687115084935,14.902600732182018,14.902600732182018,1.0
5,3,44,2,13.503687115084935,17.617491171811658,16.012985666680404,0.6099703624659438
5,3,44,3,13.503687115084935,22.918150858351964,19.016404788908737,0.5855583306873267
5,3,45,1,10.397511897606421,14.889103196469101,14.889103196469101,1.0
5,3,45,2,10.397511897606421,19.681868713322874,19.681868713322874,1.0
5,3,45,3,10.397511897606421,24.565480709032883,24.565480709032883,1.0
5,3,46,1,9.511797643336603,13.749832516316035,13.749832516316035,1.0
5,3,46,2,9.511797643336603,17.931267738837178,17.931267738837178,1.0
5,3,46,3,9.511797643336603,18.85927020865723,18.85927020865723,1.0
5,3,47,1,9.494087034201225,13.436098678866614,13.436098678866614,1.0
5,3,47,2,9.494087034201225,17.783484374197805,17.783484374197805,1.0
5,3,47,3,9.494087034201225,20.31177157653131,20.31177157653131,1.0
5,3,48,1,15.255885610363812,18.578991902607328,18.578991902607328,1.0
5,3,48,2,15.255885610363812,21.55784440751954,21.55784440751954,1.0
5,3,48,3,15.255885610363812,22.885071295402465,22.885071295402465,1.0
5,3,49,1,11.884830848964567,15.79349471938041,15.79349471938041,1.0
5,3,49,2,11.884830848964567,18.40125971564165,18.40125971564165,1.0
5,3,49,3,11.884830848964567,23.24042379997491,20.42411696430193,0.7519894515572255
5,3,50,1,11.483168370059296,14.485393471108733,14.485393471108733,1.0
5,3,50,2,11.483168370059296,16.943343250184668,16.943343250184668,1.0
5,3,50,3,11.483168370059296,20.74117590472396,20.74117590472396,1.0
5,3,51,1,11.381750151624288,16.28320637245805,16.28320637245805,1.0
5,3,51,2,11.381750151624288,20.186689767325866,20.186689767325866,1.0
5,3,51,3,11.381750151624288,21.65170279395714,21.65170279395714,1.0
5,3,52,1,10.060227826711195,12.877253207167609,12.877253207167609,1.0
5,3,52,2,10.060227826711195,14.56328430119843,14.56328430119843,1.0
5,3,52,3,10.060227826711195,17.4203493084431,14.664547940975076,0.6255766464849765
5,3,53,1,15.282485231047165,20.24682410369607,20.24682410369607,1.0
5,3,53,2,15.282485231047165,23.230429267522645,23.230429267522645,1.0
5,3,53,3,15.282485231047165,26.619773935276,26.619773935276,1.0
5,3,54,1,17.21645505236988,19.394205299130533,19.394205299130533,1.0
5,3,54,2,17.21645505236988,21.447723253902453,21.447723253902453,1.0
5,3,54,3,17.21645505236988,29.660732440858705,22.41870841398996,0.4180438284373391
5,3,55,1,5.904844980905075,7.072764312531074,7.072764312531074,1.0
5,3,55,2,5.904844980905075,7.916223196429162,7.916223196429162,1.0
5,3,55,3,5.904844980905075,16.385831542932124,14.248620806980039,0.7960868737590726
5,3,56,1,12.561585685040527,16.726104628874378,16.726104628874378,1.0
5,3,56,2,12.561585685040527,19.7850617988201,19.7850617988201,1.0
5,3,56,3,12.561585685040527,22.686644603846215,22.686644603846215,1.0
5,3,57,1,11.36706790954325,15.203950973932827,15.203950973932827,1.0
5,3,57,2,11.36706790954325,16.700853889877546,16.700853889877546,1.0
5,3,57,3,11.36706790954325,20.613726325970866,20.53778109068527,0.9917867372335643
5,3,58,1,16.578296382400335,22.850100331827907,22.850100331827907,1.0
5,3,58,2,16.578296382400335,24.35329705436353,24.35329705436353,1.0
5,3,58,3,16.578296382400335,27.967985882343193,27.967985882343193,1.0
5,3,59,1,17.804959787134496,20.329950450695616,20.329950450695616,1.0
5,3,59,2,17.804959787134496,22.547841532611365,22.547841532611365,1.0
5,3,59,3,17.804959787134496,23.81102228118899,23.81102228118899,1.0
5,3,60,1,9.885072479794804,15.610086438149644,15.610086438149644,1.0
5,3,60,2,9.885072479794804,19.344677655943354,19.344677655943354,1.0
5,3,60,3,9.885072479794804,21.91434215293684,21.91434215293684,1.0
5,3,61,1,4.850241369054926,9.156992306864415,9.156992306864415,1.0
5,3,61,2,4.850241369054926,11.226818361689402,11.226818361689402,1.0
5,3,61,3,4.850241369054926,12.903097314305624,12.903097314305624,1.0
5,3,62,1,15.8538374957379,19.86579079677308,19.86579079677308,1.0
5,3,62,2,15.8538374957379,22.143962703167542,22.143962703167542,1.0
5,3,62,3,15.8538374957379,24.661479183942006,24.177934160851095,0.9450993761771084
5,3,63,1,20.29810403798137,21.79498548621678,21.79498548621678,1.0
5,3,63,2,20.29810403798137,25.162063988204306,25.162063988204306,1.0
5,3,63,3,20.29810403798137,31.419047631875607,28.34131523585519,0.7232489878187861
5,3,64,1,9.150858614825678,10.365964998820097,10.365964998820097,1.0
5,3,64,2,9.150858614825678,10.822523330450988,10.822523330450988,1.0
5,3,64,3,9.150858614825678,15.319318816228176,11.7621823743546,0.42333478279315084
5,3,65,1,20.32865996085617,23.382764184957473,23.382764184957473,1.0
5,3,65,2,20.32865996085617,26.422401049338234,26.422401049338234,1.0
5,3,65,3,20.32865996085617,28.502952783687512,28.502952783687512,1.0
5,3,66,1,11.171904492344408,16.69295047826178,16.69295047826178,1.0
5,3,66,2,11.171904492344408,20.59244087358951,20.59244087358951,1.0
5,3,66,3,11.171904492344408,23.538484744220895,23.538484744220895,1.0
5,3,67,1,7.323246732680639,13.065788959248414,13.065788959248414,1.0
5,3,67,2,7.323246732680639,19.729514573537223,19.729514573537223,1.0
5,3,67,3,7.323246732680639,24.56955986328616,24.56955986328616,1.0
5,3,68,1,10.696571250076826,18.109845631877853,18.109845631877853,1.0
5,3,68,2,10.696571250076826,23.490299285483417,23.490299285483417,1.0
5,3,68,3,10.696571250076826,28.881389815668804,28.881389815668804,1.0
5,3,69,1,17.15384090817424,17.944475499322284,17.944475499322284,1.0
5,3,69,2,17.15384090817424,18.242805894908727,18.16442232060269,0.9280201151911329
5,3,69,3,17.15384090817424,20.985925988753717,19.03344048605677,0.49049004350349695
5,3,70,1,8.498704764064549,10.872714149785605,10.872714149785605,1.0
5,3,70,2,8.498704764064549,15.382125313636804,15.382125313636804,1.0
5,3,70,3,8.498704764064549,23.02754768416787,23.02754768416787,1.0
5,3,71,1,8.135162802585404,13.221484572584014,13.221484572584014,1.0
5,3,71,2,8.135162802585404,18.338494702557032,18.338494702557032,1.0
5,3,71,3,8.135162802585404,18.863830750595024,18.863830750595024,1.0
5,3,72,1,11.908911946465123,16.194469009663912,16.194469009663912,1.0
5,3,72,2,11.908911946465123,17.271818067246095,17.271818067246095,1.0
5,3,72,3,11.908911946465123,18.686444436326333,18.686444436326333,1.0
5,3,73,1,13.52208804191503,15.820277132480989,15.820277132480989,1.0
5,3,73,2,13.52208804191503,18.334437191763172,18.095588027596467,0.9503674490920422
5,3,73,3,13.52208804191503,21.640257326129323,20.632626282329127,0.8758795230151797
5,3,74,1,16.99440417117392,19.00391001484779,19.00391001484779,1.0
5,3,74,2,16.99440417117392,21.156881402209955,21.156881402209955,1.0
5,3,74,3,16.99440417117392,27.27507158189602,23.504310424171322,0.633218252562861
5,3,75,1,14.37138984126437,19.26451530126205,19.26451530126205,1.0
5,3,75,2,14.37138984126437,23.592163508217748,23.592163508217748,1.0
5,3,75,3,14.37138984126437,25.950771623002485,25.950771623002485,1.0
5,3,76,1,8.515175509608776,14.961246740811175,14.961246740811175,1.0
5,3,76,2,8.515175509608776,20.919116242011892,20.919116242011892,1.0
5,3,76,3,8.515175509608776,24.458937928214418,24.458937928214418,1.0
5,3,77,1,11.140585097792611,14.819873818983185,14.819873818983185,1.0
5,3,77,2,11.140585097792611,17.16609509057227,17.16609509057227,1.0
5,3,77,3,11.140585097792611,18.70947833900894,18.70947833900894,1.0
5,3,78,1,5.754239970131909,9.95264660120652,9.95264660120652,1.0
5,3,78,2,5.754239970131909,13.472668377987954,13.472668377987954,1.0
5,3,78,3,5.754239970131909,17.087818294867755,17.087818294867755,1.0
5,3,79,1,4.72951292325382,10.092138220797121,10.092138220797121,1.0
5,3,79,2,4.72951292325382,16.206477694678455,16.206477694678455,1.0
5,3,79,3,4.72951292325382,20.074101577235332,20.074101577235332,1.0
5,3,80,1,8.981835556854417,15.471271025364214,15.471271025364214,1.0
5,3,80,2,8.981835556854417,16.766354527477734,16.766354527477734,1.0
5,3,80,3,8.981835556854417,19.328611012497163,19.328611012497163,1.0
5,3,81,1,11.956489170736242,14.054553633729942,14.054553633729942,1.0
5,3,81,2,11.956489170736242,18.043826120698604,18.043826120698604,1.0
5,3,81,3,11.956489170736242,21.0565772750193,20.59765617705296,0.9495695983701143
5,3,82,1,22.192232329492068,26.56291704670711,26.56291704670711,1.0
