trial,maximum_retained_order,maximum_absolute_error,mean_absolute_error,maximum_relative_error
21,3,1.593019837489905,0.09956373984311995,0.06390076410511399
22,1,19.10036588158748,5.7347135180689355,0.5394245404871542
22,2,12.64082563114798,1.5905552952022395,0.4160850767213664
22,3,5.735363803715437,0.692276345795055,0.17886593874122422
23,1,18.341292044152397,4.044268369119098,0.46743287374559295
23,2,11.913849695001602,1.9818635315369673,0.36743723026890923
23,3,16.363085365717268,1.2024752009778827,0.43894925135150387
24,1,16.088242388896944,3.206808601458658,0.3307924389295257
24,2,9.638602024506334,1.638953199278912,0.23179765670517655
24,3,11.360273189772109,1.799322775401876,0.23754089514589427
25,1,15.515141195855808,2.7047725069459005,0.4143254573607119
25,2,9.49689066104117,1.075625394352263,0.277594149689098
25,3,12.074363688232424,1.1872744923268392,0.31375151789057243
26,1,2.2677648589129653,0.4376863194689923,0.07601304389204437
26,2,1.6875307078540303,0.2926277817042594,0.05709175369194597
26,3,1.785734821712225,0.11978321982576229,0.0609563746034257
27,1,10.237225934373889,1.561875843799585,0.23274150851193612
27,2,10.084991313492978,1.5238171885793554,0.2292804815170549
27,3,8.646164320008715,1.3439638143938233,0.19656900605505498
28,1,20.274080223355966,5.276171610715409,0.5342404864741922
28,2,12.564119938961419,3.057093367934692,0.3532702533658158
28,3,34.57712104983989,2.6958703313652648,0.9451516329444603
29,1,12.70539895767029,2.6594650250672656,0.3474831494292402
29,2,7.805104726133223,1.415727157283206,0.22854518893941486
29,3,12.509381734470537,0.8347032390755582,0.37336052024948224
30,1,16.886561374080102,2.7232790800440974,0.5229520423993644
30,2,14.003809890312695,2.002591209102245,0.4336774563678972
30,3,9.874803028319938,1.2800251307179973,0.33678324321086006
31,1,12.400101562558394,1.87039338680143,0.3223021563182458
31,2,9.37160360109338,1.102645422273333,0.272030191826482
31,3,10.886813131498709,1.2482574852542967,0.2846228389577881
32,1,14.686005299774294,2.5161631389098615,0.3582645524434954
32,2,11.040059428884604,1.6309763915153275,0.2822941375793248
32,3,9.733354718054791,1.4390764329699741,0.25589266330805616
33,1,12.71126832515965,3.2255614637373364,0.3724709799765895
33,2,6.746801863154971,0.7194903009764451,0.2271306552374966
33,3,6.024251346766597,0.5102220651077917,0.1765251700582964
34,1,22.381123845214496,7.060282069594223,0.6482051373153651
34,2,17.125068702033797,2.243325765044666,0.5509395107150047
34,3,8.360263671204208,0.5554704653690636,0.26517128378021104
35,1,17.8832249016958,3.557960891474735,0.45781762599972164
35,2,9.056227629968738,1.178312683603202,0.26415004639628775
35,3,13.918047437480393,1.6287779516383996,0.33681724710631517
36,1,13.801351143881348,3.675646515233605,0.3803594084828426
36,2,10.557387817769108,1.3314323043990341,0.3365912319820472
36,3,10.54974253100115,0.8392806619369146,0.290746448438627
37,1,12.412119205562867,2.0987118853137026,0.4132788436998969
37,2,8.50040714317549,1.1207838697168584,0.317276444980035
37,3,4.127157154079448,0.3738728021350214,0.2062949167391808
38,1,11.843104620295414,2.183230438942538,0.26651790537198583
38,2,11.393509977069336,2.0708317781360184,0.256400201744363
38,3,10.789019129542204,0.8950202951678841,0.2644917666036942
39,1,19.733332485925075,5.408457501136132,0.6097725480058143
39,2,8.846423663172402,2.4888790694689944,0.3841366619577465
39,3,40.50623631098099,3.4716301505958125,1.2916818057798052
40,1,13.591037269191876,2.293324873234411,0.406992189341985
40,2,11.126218325643386,1.6977045787757645,0.33318163034658266
40,3,10.308154696372991,1.5748621836884893,0.3086841986271856
41,1,6.794279245444599,1.2114012603500086,0.26519235274851954
41,2,5.498657409515353,0.8326413830603799,0.23002517890117682
41,3,4.2864664477690155,0.2806726057253052,0.17962526074600255
42,1,9.447452644026857,3.3699954388569675,0.3587148306473369
42,2,10.367093061615034,1.5836409875535036,0.3936330958222527
42,3,5.080531878091431,0.3473121299098042,0.19290513548117272
43,1,13.063395354497146,1.9819941698766972,0.2720244087459868
43,2,12.928116663465751,1.9481744971188486,0.26920744539571373
43,3,9.491345729121036,1.266263466489588,0.21913543834498475
44,1,14.83514956045611,2.851415624664986,0.4806713586839716
44,2,11.56615170291131,2.0044682029249676,0.3760915316823217
44,3,6.379380121990124,0.43556189698593895,0.21391167822420354
45,1,25.578219393432605,6.139817265379645,0.503128195831764
45,2,11.303616558368681,1.8869020096570712,0.2749814702501447
45,3,8.500742867115186,1.3020898167352906,0.19134618957261448
46,1,4.284538704351821,1.1363638674447059,0.1841485410440762
46,2,1.5484067819161922,0.1975626123870749,0.05726245613328104
46,3,0.39407230135283555,0.024629518834552555,0.01769388896201738
47,1,7.787842331190582,1.5374379268644518,0.32834486594955864
47,2,3.5864023761082553,0.4089249461369623,0.20458854712627375
47,3,2.597333669872988,0.1623333543670623,0.14816650955325705
48,1,11.203621023660524,2.0503211694268892,0.3048061371692668
48,2,9.52086629113397,1.6296324862952503,0.2590250482925976
48,3,3.2790612783041553,0.5296385493646917,0.0945568658686175
49,1,14.066390685156222,2.499571815555835,0.3487383261232018
49,2,11.166337124618671,1.7527295983505824,0.3076904890446678
49,3,9.630595900395484,1.4419763172563902,0.2804836173388859
50,1,15.242297164855469,2.88213756453827,0.3400990464060091
50,2,9.758840647695141,1.3199518481843677,0.2586920052477481
50,3,8.403729493366182,1.08992120325064,0.23020676435922566
51,1,17.66160043658143,4.002246467487406,0.5280080482245404
51,2,8.162995498449753,1.2391505535580378,0.3475634007107158
51,3,7.126294660102015,0.9472899255756962,0.2869681735507206
52,1,20.181794620513777,4.575771238907467,0.5293981197424596
52,2,10.085600532343214,2.051722716864826,0.3120729402930933
52,3,10.161582361258887,0.8597677642092897,0.2885857774397735
53,1,13.462502893623231,2.917838424670694,0.3286603106498733
53,2,4.901184433980525,0.8382017915695287,0.132722263836379
53,3,6.1529504053047575,0.8722219145593151,0.15021208222570506
54,1,11.368761727108268,3.0521535482975293,0.30268972614145867
54,2,8.662080285732166,2.375483187953504,0.2306251791038727
54,3,31.899428315000286,2.660708620125644,0.8563995996454006
55,1,23.370606078888446,5.701840789861393,0.48299497695518673
55,2,20.875833343220112,5.078147605944309,0.4314360787432553
55,3,44.420904265973824,3.361388676520079,0.9709036779524588
56,1,22.534974631104475,5.2196232618116625,0.5391039723636766
56,2,16.98539080883718,3.800571580688175,0.4490628260130391
56,3,35.31058625911542,2.613351331478135,0.8798954545396873
57,1,11.060196173878825,2.2451257697332183,0.30915632554943256
57,2,5.839682870573807,0.9399974439069637,0.16323172484990503
57,3,5.150814066381471,0.4859390079014302,0.15758738836910663
58,1,28.150667051846348,6.699392945306368,0.5804608672417595
58,2,10.117549239791614,1.9275495615289555,0.2786215071322455
58,3,12.23742722952597,1.7750815978243533,0.2944022229182606
59,1,10.72286067438715,2.549684516638296,0.3499976744104918
59,2,1.4557985329554235,0.3932510639658759,0.07458437051445552
59,3,3.768239146226083,0.28385883803890627,0.12855951275508087
60,1,18.394861662986727,3.8480341949930423,0.41094149557138
60,2,8.465306766279554,1.1499532655487334,0.20604295981330176
60,3,10.587912677855329,1.1369551463478524,0.23653413385390912
61,1,14.663036161184191,3.006625766658744,0.3495447103715675
61,2,10.42485424194869,1.9470802868498693,0.25436372280505115
61,3,6.115598240605912,0.9409617606418875,0.17663789187702217
62,1,8.663682067390223,2.227029251623505,0.2794803082903719
62,2,3.077762121100349,0.458839711040438,0.12743812678493596
62,3,2.152044013413235,0.13464680993006412,0.0827672781416618
63,1,10.073664903719358,1.7003445330482236,0.2952428326472589
63,2,8.27714707150697,1.2170854046685347,0.24405980268397817
63,3,2.812169737902426,0.3466625394149897,0.0863258174325983
64,1,9.78867753109856,1.4136218535526393,0.2651413920985974
64,2,8.345072415943108,1.0527205747637762,0.22603912637813117
64,3,4.591265851091052,0.5834947541572686,0.13741684085590325
65,1,7.157619944158402,1.3668510462093861,0.21819678623355285
65,2,4.017370820606708,0.4453181093682824,0.15204205746408014
65,3,3.4241561707681285,0.3203487931367618,0.13582705056682312
66,1,14.56622848406517,3.524217452972258,0.31061572387771613
66,2,4.591417054224436,0.9655088000414147,0.13433178155123993
66,3,12.043685957009828,1.0676438460705326,0.2630532181926826
67,1,6.807990904720185,1.2162663262965463,0.27830487084570654
67,2,6.279039353948765,1.0840284386036911,0.25668178187844437
67,3,5.238880827889282,0.32743005174308026,0.2181971987240963
68,1,13.998451615120025,3.5903948685570692,0.37887379107858987
68,2,7.724086953513151,0.9287263809329493,0.212886844389142
68,3,11.614218855316913,1.1341890728202215,0.2850834305410878
69,1,17.13919575497738,3.662149509194936,0.33446053896646016
69,2,10.624969205195391,1.934680112370749,0.2335823517255575
69,3,9.709207802683544,1.813460838699042,0.21344999200882375
70,1,10.329743596104947,2.126319397739735,0.35792039763249095
70,2,5.011415852445701,0.6611451757162083,0.19360267621558894
70,3,5.312645658494326,0.5048004865450011,0.1635399726126149
