trial,action_budget,baseline,exact_value,greedy_value,greedy_gain_ratio
41,3,12.444455277958802,19.929762690042928,19.91213511033021,0.9976450426492494
42,1,9.588859335636874,12.723290956323156,12.723290956323156,1.0
42,2,9.588859335636874,17.319544929401925,17.319544929401925,1.0
42,3,9.588859335636874,21.87277033821732,21.87277033821732,1.0
43,1,25.12519354762322,30.446959307958977,30.446959307958977,1.0
43,2,25.12519354762322,33.481380558678794,33.481380558678794,1.0
43,3,25.12519354762322,34.78911283549447,34.78911283549447,1.0
44,1,11.782145774009207,14.325399166877602,14.325399166877602,1.0
44,2,11.782145774009207,16.45533873354923,16.45533873354923,1.0
44,3,11.782145774009207,18.959129899828454,18.959129899828454,1.0
45,1,13.11044784478908,17.273806556407845,17.273806556407845,1.0
45,2,13.11044784478908,22.008276309718937,22.008276309718937,1.0
45,3,13.11044784478908,27.840269961358477,27.840269961358477,1.0
46,1,16.65360318166878,23.047041515384592,23.047041515384592,1.0
46,2,16.65360318166878,28.314303595293687,28.314303595293687,1.0
46,3,16.65360318166878,29.627863107275815,29.627863107275815,1.0
47,1,7.9128237554289305,12.334539293907318,12.334539293907318,1.0
47,2,7.9128237554289305,17.539529272047456,17.539529272047456,1.0
47,3,7.9128237554289305,20.13208126355059,20.13208126355059,1.0
48,1,21.716250467804944,28.408322392020594,28.408322392020594,1.0
48,2,21.716250467804944,30.656010755677244,30.656010755677244,1.0
48,3,21.716250467804944,32.34374934128819,32.34374934128819,1.0
49,1,14.467947547079522,20.622026987974685,20.622026987974685,1.0
49,2,14.467947547079522,25.824601070549974,25.824601070549974,1.0
49,3,14.467947547079522,30.897049296900782,30.897049296900782,1.0
50,1,20.146253992597586,24.33335556277662,24.33335556277662,1.0
50,2,20.146253992597586,28.270308641909352,28.270308641909352,1.0
50,3,20.146253992597586,31.004133148254947,31.004133148254947,1.0
51,1,7.899236287743787,10.692913809650976,10.692913809650976,1.0
51,2,7.899236287743787,14.693306141681944,14.693306141681944,1.0
51,3,7.899236287743787,18.839865179221427,18.839865179221427,1.0
52,1,12.560215777345455,15.143402531984398,15.143402531984398,1.0
52,2,12.560215777345455,18.885373069616584,18.885373069616584,1.0
52,3,12.560215777345455,23.712501793567267,23.712501793567267,1.0
53,1,14.416824562809895,20.994667084366906,20.994667084366906,1.0
53,2,14.416824562809895,28.701653624947944,28.701653624947944,1.0
53,3,14.416824562809895,30.94682053487124,30.94682053487124,1.0
54,1,16.547338568593492,21.703994278448793,21.703994278448793,1.0
54,2,16.547338568593492,23.99994410463549,23.99994410463549,1.0
54,3,16.547338568593492,28.660569126020924,28.660569126020924,1.0
55,1,16.891575083045566,20.250322765034465,20.250322765034465,1.0
55,2,16.891575083045566,23.734702735417237,23.734702735417237,1.0
55,3,16.891575083045566,28.39507553539074,28.39507553539074,1.0
56,1,15.081178378364186,18.51911739570337,18.51911739570337,1.0
56,2,15.081178378364186,20.682290916737326,20.682290916737326,1.0
56,3,15.081178378364186,23.48116221349573,23.48116221349573,1.0
57,1,17.396027499014536,22.092017908125364,22.092017908125364,1.0
57,2,17.396027499014536,26.088933938845422,26.088933938845422,1.0
57,3,17.396027499014536,29.113517306956265,29.113517306956265,1.0
58,1,15.488799077774855,18.006387500512012,18.006387500512012,1.0
58,2,15.488799077774855,21.7848788136574,21.7848788136574,1.0
58,3,15.488799077774855,26.834551299525756,26.834551299525756,1.0
59,1,14.4190753279258,18.358505244832187,18.358505244832187,1.0
59,2,14.4190753279258,21.207501073971226,21.207501073971226,1.0
59,3,14.4190753279258,23.638082311594104,23.638082311594104,1.0
60,1,20.443588191988308,23.067458130249268,23.067458130249268,1.0
60,2,20.443588191988308,27.871394777213766,27.871394777213766,1.0
60,3,20.443588191988308,31.42216681543207,31.42216681543207,1.0
61,1,13.799312386074615,19.40708582958612,19.40708582958612,1.0
61,2,13.799312386074615,25.138567648158496,25.138567648158496,1.0
61,3,13.799312386074615,28.44590288981143,28.44590288981143,1.0
62,1,10.838335015912833,15.760767736283558,15.760767736283558,1.0
