trial,seed,dimension,alternative_count,repetition,true_class,predicted_class,l1_distance,construction_epsilon,construction_residual_l1,analytic_separation_margin,ground_truth_witness_valid,tolerance,runtime_ms,coefficient_sum
64,20260725,3,4,4,separable,separable,0.40166620692736166,0.0,,0.20083310346368077,True,1e-08,0.33540000731591135,1.0
65,20260725,3,4,5,separable,separable,0.22313383605280215,0.0,,0.11156691802640106,True,1e-08,0.32669999927747995,1.0
66,20260725,3,4,6,separable,separable,0.7289434890519896,0.0,,0.36447174452599485,True,1e-08,0.3311000036774203,1.0
67,20260725,3,4,7,separable,separable,0.7158049311755911,0.0,,0.3579024655877956,True,1e-08,0.32750000536907464,1.0
68,20260725,3,4,8,separable,separable,1.5364210454816842,0.0,,0.7682105227408421,True,1e-08,0.41059999784920365,1.0
69,20260725,3,4,9,separable,separable,0.7327529802598958,0.0,,0.3663764901299479,True,1e-08,0.3515999997034669,1.0
70,20260725,3,4,10,separable,separable,0.06410605767785862,0.0,,0.03205302883892924,True,1e-08,0.3280000091763213,1.0
71,20260725,3,4,11,separable,separable,0.5832920333756778,0.0,,0.29164601668783885,True,1e-08,0.3488000074867159,1.0
72,20260725,3,4,12,separable,separable,0.34778499582876116,0.0,,0.17389249791438066,True,1e-08,0.32389999250881374,1.0
73,20260725,3,4,13,separable,separable,1.0620052757679916,0.0,,0.5310026378839957,True,1e-08,0.32359999022446573,1.0
74,20260725,3,4,14,separable,separable,0.9118932014989037,0.0,,0.4559466007494518,True,1e-08,0.6522000039694831,1.0
75,20260725,3,4,15,separable,separable,0.738481163953394,0.0,,0.36924058197669707,True,1e-08,0.38580001273658127,1.0
76,20260725,3,4,16,separable,separable,0.6010807703239736,0.0,,0.3005403851619868,True,1e-08,0.3667999990284443,1.0
77,20260725,3,4,17,separable,separable,0.12871133121827413,0.0,,0.06435566560913708,True,1e-08,0.3576000017346814,1.0
78,20260725,3,4,18,separable,separable,0.5995914532858286,0.0,,0.2997957266429143,True,1e-08,0.3804000007221475,1.0
79,20260725,3,4,19,separable,separable,0.9638994174421911,0.0,,0.48194970872109555,True,1e-08,0.3588999970816076,1.0
80,20260725,3,4,20,separable,separable,0.5743936812618129,0.0,,0.28719684063090645,True,1e-08,0.3364000003784895,1.0
81,20260725,3,4,21,separable,separable,1.0619465431355348,0.0,,0.5309732715677674,True,1e-08,0.33409999741706997,1.0
82,20260725,3,4,22,separable,separable,0.7061797970198925,0.0,,0.3530898985099462,True,1e-08,0.3328000020701438,1.0
83,20260725,3,4,23,separable,separable,0.26081820894024343,0.0,,0.13040910447012166,True,1e-08,0.3434999962337315,1.0
84,20260725,3,4,24,separable,separable,0.11959458570822426,0.0,,0.05979729285411217,True,1e-08,0.33290000283159316,1.0
85,20260725,3,4,25,separable,separable,1.4031129148675292,0.0,,0.7015564574337647,True,1e-08,0.2935999946203083,1.0
86,20260725,3,4,26,separable,separable,1.5498070035115514,0.0,,0.7749035017557756,True,1e-08,0.33490000350866467,1.0
87,20260725,3,4,27,separable,separable,0.8534464174506344,0.0,,0.4267232087253172,True,1e-08,0.32979999377857894,1.0
